brand,model,processor,ram,memory,os,display_size,price,star_rating,ratings
Lenovo,ThinkPad,Intel Core i3,4GB,256GB SSD,Windows,15.6,584.87,4.1,42
Lenovo,IdeaPad,Intel Core i3,4GB,256GB SSD,Windows,14,474.37,0.0,0
Lenovo,Missing,Intel Core i3,8GB,256GB SSD,Windows,15.6,506.60999999999996,0.0,0
Hp,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,583.6999999999999,4.2,1029
Msi,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,506.87,4.5,53
Dell,Vostro,Intel Core i3,4GB,256GB SSD,Windows,Missing,577.5509999999999,0.0,0
Asus,VivoBook,Intel Core i3,4GB,256GB SSD,Windows,Missing,467.87,0.0,0
Lenovo,Ideapad,Intel Core i3,4GB,256GB SSD,Windows,Missing,522.6,3.9,48
Lenovo,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,532.87,3.7,3
Dell,Inspiron,Intel Core i3,4GB,256GB SSD,Windows,Missing,552.37,0.0,0
Realme,Book,Intel Core i3,4GB,256GB SSD,Windows,Missing,623.987,4.4,6352
Acer,Chromebook,Intel Celeron Dual,4GB,512GB HDD,Windows,Missing,311.87,3.3,61
Dell,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,935.987,4.3,97
Asus,VivoBook,Intel Core i3,4GB,256GB SSD,Windows,Missing,519.87,4.4,181
Lenovo,IdeaPad,Intel Core i3,4GB,256GB SSD,Windows,Missing,545.9739999999999,4.4,529
Asus,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,545.87,0.0,0
Lenovo,Ideapad,Intel Core i3,4GB,256GB SSD,Windows,Missing,519.987,0.0,0
Asus,Commercial,Intel Core i3,4GB,256GB SSD,Windows,Missing,519.87,0.0,0
Lenovo,Ideapad,Intel Core i3,4GB,256GB SSD,Windows,Missing,519.9739999999999,4.2,10
Hp,14s,Intel Core i3,4GB,256GB SSD,Windows,Missing,552.37,4.4,5205
Lenovo,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,545.87,3.7,3
Asus,Missing,Intel Core i3,4GB,256GB SSD,Windows,Missing,630.37,0.0,0
